rel,rel_ma4,rel_chg4,eff_per_video_s,log_lag,gini_s,n_channels_s,n_new_videos_s,growth_s,accel_s,eff_per_video_s_d4,log_lag_d4,n_channels_s_d4,n_new_videos_s_d4,gini_s_d4,bass_r2,log_qp,label,product
0.0,0.0,0.0,36.5,4.472072032835127,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8788190409359685,5.891051431205939,0,달고나커피
0.0,0.0,0.0,35.0,5.146257439388239,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8788190409359685,5.891051431205939,0,달고나커피
0.0,0.0,0.0,28.666666666666668,5.811270032111428,0.0,1.0,0.3333333333333333,-0.2146118721461186,0.0,0.0,0.0,0.0,0.0,0.0,0.8788190409359685,5.891051431205939,0,달고나커피
0.0,0.0,0.0,23.33333333333333,6.3630787887182745,0.0871459694989106,1.6666666666666667,0.6666666666666666,-0.0095238095238096,0.0,0.0,0.0,0.0,0.0,0.0,0.8788190409359685,5.891051431205939,0,달고나커피
4.0,1.0,0.0,17.666666666666668,6.308637323474039,0.1710965867828612,2.333333333333333,0.6666666666666666,0.3604651162790697,0.5750769884251884,-0.5159817351598173,0.4106743534438548,1.3333333333333337,0.3333333333333332,0.0,0.8788190409359685,5.891051431205939,0,달고나커피
31.428571428571427,8.857142857142858,0.0,46.833333333333336,6.192290533542169,0.3988231612836293,3.333333333333333,0.6666666666666666,4.096153846153846,4.105677655677655,0.3380952380952382,0.2032609340815017,2.333333333333333,1.0,0.0,0.8788190409359685,5.891051431205939,0,달고나커피
100.0,33.85714285714286,0.0,66.125,5.302638111264763,0.5797628901709179,7.666666666666667,4.666666666666667,13.333333333333334,12.972868217054264,1.306686046511628,-0.0875250879818196,6.666666666666667,13.000000000000002,0.0,0.8788190409359685,5.891051431205939,1,달고나커피
100.0,58.85714285714286,0.0,80.09626436781609,4.828362254643834,0.7614040301740311,25.0,22.33333333333333,8.30754716981132,4.211393323657474,2.432697044334976,-0.2411908739516929,14.0,32.5,7.737111246247007,0.8788190409359685,5.891051431205939,1,달고나커피
100.0,82.85714285714286,24.0,58.48087975243149,3.4654624279088773,0.8068014437752247,49.0,35.0,3.713178294573643,-9.620155038759693,2.3102384765527253,-0.4506797188968033,20.0,51.5,3.715473633609867,0.8788190409359685,5.891051431205939,1,달고나커피
100.0,100.0,2.181818181818182,54.709213085764816,3.0643920648845477,0.8130145123750171,68.0,40.66666666666666,1.325765254409082,-6.981781915402238,0.1681682509415973,-0.5051278604765939,19.4,60.0,1.0385338448205848,0.8788190409359685,5.891051431205939,1,달고나커피
66.0,91.5,-0.3399999999999999,48.37650293481619,3.38747401593055,0.7977408370758988,76.33333333333333,31.666666666666668,0.4320597165991904,-3.2811185779744525,-0.2684082731974867,-0.3611719402962267,8.956521739130434,5.785714285714286,0.3759777498706749,0.8788190409359685,5.891051431205939,1,달고나커피
66.0,83.0,-0.3399999999999999,44.593848334514526,3.248531709775712,0.7838859462705398,77.33333333333333,26.33333333333333,-0.0708620238821581,-1.39662727829124,-0.4432468394564351,-0.3271980148856208,2.0933333333333333,0.1791044776119403,0.0295269202756518,0.8788190409359685,5.891051431205939,1,달고나커피
66.0,74.5,-0.3399999999999999,34.892895953562146,3.717457912617046,0.7676895247003263,76.33333333333333,21.666666666666668,-0.2662779397473275,-0.6983376563465179,-0.4033452283673726,0.0727162651306616,0.5578231292517006,-0.3809523809523809,-0.0484777504758593,0.8788190409359685,5.891051431205939,1,달고나커피
66.0,66.0,-0.3399999999999999,30.505423987776933,4.093283814643073,0.7787833431589087,74.33333333333333,17.0,-0.3373358348968106,-0.2664738110146525,-0.4424079187548329,0.3357572164308842,0.0931372549019606,-0.5819672131147541,-0.0421040076100371,0.8788190409359685,5.891051431205939,1,달고나커피
42.57142857142857,60.14285714285714,-0.354978354978355,25.55624098124098,5.257706576574383,0.7544394057079117,71.33333333333333,11.333333333333334,-0.3287176399759182,-0.0624397002285906,-0.4717220255528567,0.5521024078261672,-0.0655021834061135,-0.6421052631578947,-0.0542800736222901,0.8788190409359685,5.891051431205939,1,달고나커피
